year,month,state,no_of_fires,date
2014,Sep,Amapa,137,1/1/2014
2015,Sep,Amapa,192,1/1/2015
2016,Sep,Amapa,142,1/1/2016
2017,Sep,Amapa,95,1/1/2017
1998,Oct,Amapa,42,1/1/1998
1999,Oct,Amapa,25,1/1/1999
2000,Oct,Amapa,42,1/1/2000
2001,Oct,Amapa,,1/1/2001
2002,Oct,Amapa,557,1/1/2002
2003,Oct,Amapa,355,1/1/2003
2004,Oct,Amapa,412,1/1/2004
2005,Oct,Amapa,335,1/1/2005
2006,Oct,Amapa,405,1/1/2006
2007,Oct,Amapa,162,1/1/2007
2008,Oct,Amapa,395,1/1/2008
2009,Oct,Amapa,765,1/1/2009
2010,Oct,Amapa,265,1/1/2010
2011,Oct,Amapa,304,1/1/2011
2012,Oct,Amapa,475,1/1/2012
2013,Oct,Amapa,385,1/1/2013
2014,Oct,Amapa,480,1/1/2014
2015,Oct,Amapa,827,1/1/2015
