year,month,state,no_of_fires,date
2010,Sep,Paraiba,270,1/1/2010
2011,Sep,Paraiba,913,1/1/2011
2012,Sep,Paraiba,459,1/1/2012
2013,Sep,Paraiba,476,1/1/2013
2014,Sep,Paraiba,443,1/1/2014
2015,Sep,Paraiba,599,1/1/2015
2016,Sep,Paraiba,1.371,1/1/2016
2017,Sep,Paraiba,1.706,1/1/2017
1998,Oct,Paraiba,61,1/1/1998
1999,Oct,Paraiba,452,1/1/1999
2000,Oct,Paraiba,658,1/1/2000
2001,Oct,Paraiba,209,1/1/2001
2002,Oct,Paraiba,399,1/1/2002
2003,Oct,Paraiba,1.228,1/1/2003
2004,Oct,Paraiba,666,1/1/2004
2005,Oct,Paraiba,157,1/1/2005
2006,Oct,Paraiba,327,1/1/2006
2007,Oct,Paraiba,194,1/1/2007
2008,Oct,Paraiba,78,1/1/2008
2009,Oct,Paraiba,424,1/1/2009
2010,Oct,Paraiba,230,1/1/2010
2011,Oct,Paraiba,256,1/1/2011
2012,Oct,Paraiba,145,1/1/2012
2013,Oct,Paraiba,233,1/1/2013
2014,Oct,Paraiba,411,1/1/2014
2015,Oct,Paraiba,158,1/1/2015
2016,Oct,Paraiba,193,1/1/2016
2017,Oct,Paraiba,134,1/1/2017
1998,Nov,Paraiba,143,1/1/1998
1999,Nov,Paraiba,447,1/1/1999
2000,Nov,Paraiba,85,1/1/2000
2001,Nov,Paraiba,89,1/1/2001
2002,Nov,Paraiba,425,1/1/2002
2003,Nov,Paraiba,503,1/1/2003
2004,Nov,Paraiba,388,1/1/2004
2005,Nov,Paraiba,597,1/1/2005
2006,Nov,Paraiba,60,1/1/2006
2007,Nov,Paraiba,59,1/1/2007
2008,Nov,Paraiba,39,1/1/2008
2009,Nov,Paraiba,90,1/1/2009
2010,Nov,Paraiba,183,1/1/2010
2011,Nov,Paraiba,138,1/1/2011
2012,Nov,Paraiba,142,1/1/2012
2013,Nov,Paraiba,126,1/1/2013
2014,Nov,Paraiba,68,1/1/2014
2015,Nov,Paraiba,18,1/1/2015
2016,Nov,Paraiba,275,1/1/2016
2017,Nov,Paraiba,292,1/1/2017
1998,Dec,Paraiba,82,1/1/1998
1999,Dec,Paraiba,254,1/1/1999
2000,Dec,Paraiba,159,1/1/2000
2001,Dec,Paraiba,85,1/1/2001
2002,Dec,Paraiba,165,1/1/2002
2003,Dec,Paraiba,171,1/1/2003
2004,Dec,Paraiba,151,1/1/2004
2005,Dec,Paraiba,40,1/1/2005
2006,Dec,Paraiba,6,1/1/2006
2007,Dec,Paraiba,22,1/1/2007
2008,Dec,Paraiba,62,1/1/2008
2009,Dec,Paraiba,30,1/1/2009
2010,Dec,Paraiba,37,1/1/2010
2011,Dec,Paraiba,78,1/1/2011
2012,Dec,Paraiba,54,1/1/2012
2013,Dec,Paraiba,155,1/1/2013
2014,Dec,Paraiba,78,1/1/2014
2015,Dec,Paraiba,30,1/1/2015
2016,Dec,Paraiba,45,1/1/2016
1998,Jan,Pernambuco,0,1/1/1998
1999,Jan,Pernambuco,102,1/1/1999
2000,Jan,Pernambuco,3,1/1/2000
2001,Jan,Pernambuco,7,1/1/2001
2002,Jan,Pernambuco,10,1/1/2002
2003,Jan,Pernambuco,188,1/1/2003
2004,Jan,Pernambuco,29,1/1/2004
2005,Jan,Pernambuco,221,1/1/2005
2006,Jan,Pernambuco,148,1/1/2006
2007,Jan,Pernambuco,156,1/1/2007
2008,Jan,Pernambuco,170,1/1/2008
2009,Jan,Pernambuco,256,1/1/2009
2010,Jan,Pernambuco,,1/1/2010
2011,Jan,Pernambuco,49,1/1/2011
2012,Jan,Pernambuco,146,1/1/2012
2013,Jan,Pernambuco,55,1/1/2013
2014,Jan,Pernambuco,99,1/1/2014
2015,Jan,Pernambuco,109,1/1/2015
2016,Jan,Pernambuco,24,1/1/2016
2017,Jan,Pernambuco,52,1/1/2017
1998,Feb,Pernambuco,0,1/1/1998
1999,Feb,Pernambuco,13,1/1/1999
2000,Feb,Pernambuco,4,1/1/2000
2001,Feb,Pernambuco,2,1/1/2001
2002,Feb,Pernambuco,,1/1/2002
2003,Feb,Pernambuco,35,1/1/2003
2004,Feb,Pernambuco,8,1/1/2004
2005,Feb,Pernambuco,33,1/1/2005
2006,Feb,Pernambuco,41,1/1/2006
2007,Feb,Pernambuco,21,1/1/2007
2008,Feb,Pernambuco,48,1/1/2008
2009,Feb,Pernambuco,28,1/1/2009
2010,Feb,Pernambuco,33,1/1/2010
2011,Feb,Pernambuco,25,1/1/2011
2012,Feb,Pernambuco,64,1/1/2012
2013,Feb,Pernambuco,29,1/1/2013
2014,Feb,Pernambuco,25,1/1/2014
2015,Feb,Pernambuco,55,1/1/2015
2016,Feb,Pernambuco,19,1/1/2016
2017,Feb,Pernambuco,23,1/1/2017
1998,Mar,Pernambuco,0,1/1/1998
1999,Mar,Pernambuco,27,1/1/1999
2000,Mar,Pernambuco,14,1/1/2000
2001,Mar,Pernambuco,0,1/1/2001
2002,Mar,Pernambuco,24,1/1/2002
2003,Mar,Pernambuco,9,1/1/2003
2004,Mar,Pernambuco,6,1/1/2004
2005,Mar,Pernambuco,45,1/1/2005
2006,Mar,Pernambuco,,1/1/2006
2007,Mar,Pernambuco,4,1/1/2007
2008,Mar,Pernambuco,32,1/1/2008
2009,Mar,Pernambuco,15,1/1/2009
2010,Mar,Pernambuco,59,1/1/2010
2011,Mar,Pernambuco,39,1/1/2011
2012,Mar,Pernambuco,44,1/1/2012
2013,Mar,Pernambuco,40,1/1/2013
2014,Mar,Pernambuco,36,1/1/2014
2015,Mar,Pernambuco,33,1/1/2015
2016,Mar,Pernambuco,4,1/1/2016
2017,Mar,Pernambuco,7,1/1/2017
1998,Apr,Pernambuco,0,1/1/1998
1999,Apr,Pernambuco,2,1/1/1999
2000,Apr,Pernambuco,1,1/1/2000
2001,Apr,Pernambuco,,1/1/2001
2002,Apr,Pernambuco,5,1/1/2002
2003,Apr,Pernambuco,7,1/1/2003
2004,Apr,Pernambuco,5,1/1/2004
2005,Apr,Pernambuco,1,1/1/2005
2006,Apr,Pernambuco,2,1/1/2006
2007,Apr,Pernambuco,1,1/1/2007
2008,Apr,Pernambuco,5,1/1/2008
2009,Apr,Pernambuco,3,1/1/2009
2010,Apr,Pernambuco,2,1/1/2010
2011,Apr,Pernambuco,22,1/1/2011
2012,Apr,Pernambuco,46,1/1/2012
2013,Apr,Pernambuco,11,1/1/2013
2014,Apr,Pernambuco,10,1/1/2014
2015,Apr,Pernambuco,30,1/1/2015
2016,Apr,Pernambuco,8,1/1/2016
2017,Apr,Pernambuco,9,1/1/2017
1998,May,Pernambuco,0,1/1/1998
1999,May,Pernambuco,6,1/1/1999
2000,May,Pernambuco,7,1/1/2000
2001,May,Pernambuco,5,1/1/2001
2002,May,Pernambuco,13,1/1/2002
2003,May,Pernambuco,1,1/1/2003
2004,May,Pernambuco,2,1/1/2004
2005,May,Pernambuco,,1/1/2005
2006,May,Pernambuco,1,1/1/2006
2007,May,Pernambuco,0,1/1/2007
2008,May,Pernambuco,0,1/1/2008
2009,May,Pernambuco,0,1/1/2009
2010,May,Pernambuco,8,1/1/2010
2011,May,Pernambuco,1,1/1/2011
2012,May,Pernambuco,36,1/1/2012
2013,May,Pernambuco,9,1/1/2013
2014,May,Pernambuco,4,1/1/2014
2015,May,Pernambuco,17,1/1/2015
2016,May,Pernambuco,6,1/1/2016
2017,May,Pernambuco,13,1/1/2017
1998,Jun,Pernambuco,1,1/1/1998
1999,Jun,Pernambuco,7,1/1/1999
2000,Jun,Pernambuco,4,1/1/2000
2001,Jun,Pernambuco,2,1/1/2001
2002,Jun,Pernambuco,1,1/1/2002
2003,Jun,Pernambuco,2,1/1/2003
2004,Jun,Pernambuco,4,1/1/2004
2005,Jun,Pernambuco,3,1/1/2005
2006,Jun,Pernambuco,0,1/1/2006
2007,Jun,Pernambuco,1,1/1/2007
2008,Jun,Pernambuco,0,1/1/2008
2009,Jun,Pernambuco,1,1/1/2009
2010,Jun,Pernambuco,1,1/1/2010
2011,Jun,Pernambuco,4,1/1/2011
2012,Jun,Pernambuco,12,1/1/2012
2013,Jun,Pernambuco,12,1/1/2013
2014,Jun,Pernambuco,3,1/1/2014
2015,Jun,Pernambuco,3,1/1/2015
2016,Jun,Pernambuco,4,1/1/2016
2017,Jun,Pernambuco,5,1/1/2017
1998,Jul,Pernambuco,5,1/1/1998
1999,Jul,Pernambuco,2,1/1/1999
2000,Jul,Pernambuco,0,1/1/2000
2001,Jul,Pernambuco,6,1/1/2001
2002,Jul,Pernambuco,8,1/1/2002
2003,Jul,Pernambuco,5,1/1/2003
2004,Jul,Pernambuco,13,1/1/2004
2005,Jul,Pernambuco,1,1/1/2005
2006,Jul,Pernambuco,1,1/1/2006
2007,Jul,Pernambuco,3,1/1/2007
2008,Jul,Pernambuco,0,1/1/2008
2009,Jul,Pernambuco,1,1/1/2009
2010,Jul,Pernambuco,7,1/1/2010
2011,Jul,Pernambuco,2,1/1/2011
2012,Jul,Pernambuco,,1/1/2012
2013,Jul,Pernambuco,4,1/1/2013
2014,Jul,Pernambuco,11,1/1/2014
2015,Jul,Pernambuco,13,1/1/2015
2016,Jul,Pernambuco,17,1/1/2016
2017,Jul,Pernambuco,2,1/1/2017
1998,Aug,Pernambuco,12,1/1/1998
1999,Aug,Pernambuco,3,1/1/1999
2000,Aug,Pernambuco,31,1/1/2000
2001,Aug,Pernambuco,27,1/1/2001
2002,Aug,Pernambuco,37,1/1/2002
2003,Aug,Pernambuco,26,1/1/2003
2004,Aug,Pernambuco,41,1/1/2004
2005,Aug,Pernambuco,10,1/1/2005
2006,Aug,Pernambuco,8,1/1/2006
2007,Aug,Pernambuco,20,1/1/2007
2008,Aug,Pernambuco,2,1/1/2008
2009,Aug,Pernambuco,10,1/1/2009
2010,Aug,Pernambuco,29,1/1/2010
2011,Aug,Pernambuco,27,1/1/2011
2012,Aug,Pernambuco,27,1/1/2012
2013,Aug,Pernambuco,14,1/1/2013
2014,Aug,Pernambuco,23,1/1/2014
2015,Aug,Pernambuco,21,1/1/2015
2016,Aug,Pernambuco,42,1/1/2016
2017,Aug,Pernambuco,20,1/1/2017
1998,Sep,Pernambuco,177,1/1/1998
1999,Sep,Pernambuco,64,1/1/1999
2000,Sep,Pernambuco,130,1/1/2000
2001,Sep,Pernambuco,298,1/1/2001
2002,Sep,Pernambuco,374,1/1/2002
2003,Sep,Pernambuco,510,1/1/2003
2004,Sep,Pernambuco,192,1/1/2004
2005,Sep,Pernambuco,154,1/1/2005
2006,Sep,Pernambuco,147,1/1/2006
2007,Sep,Pernambuco,164,1/1/2007
2008,Sep,Pernambuco,92,1/1/2008
2009,Sep,Pernambuco,164,1/1/2009
2010,Sep,Pernambuco,179,1/1/2010
2011,Sep,Pernambuco,243,1/1/2011
2012,Sep,Pernambuco,192,1/1/2012
2013,Sep,Pernambuco,143,1/1/2013
2014,Sep,Pernambuco,63,1/1/2014
2015,Sep,Pernambuco,116,1/1/2015
2016,Sep,Pernambuco,171,1/1/2016
2017,Sep,Pernambuco,69,1/1/2017
1998,Oct,Pernambuco,372,1/1/1998
1999,Oct,Pernambuco,180,1/1/1999
2000,Oct,Pernambuco,411,1/1/2000
2001,Oct,Pernambuco,461,1/1/2001
2002,Oct,Pernambuco,638,1/1/2002
2003,Oct,Pernambuco,859,1/1/2003
2004,Oct,Pernambuco,,1/1/2004
2005,Oct,Pernambuco,408,1/1/2005
2006,Oct,Pernambuco,310,1/1/2006
2007,Oct,Pernambuco,702,1/1/2007
2008,Oct,Pernambuco,274,1/1/2008
2009,Oct,Pernambuco,254,1/1/2009
2010,Oct,Pernambuco,347,1/1/2010
2011,Oct,Pernambuco,461,1/1/2011
2012,Oct,Pernambuco,,1/1/2012
2013,Oct,Pernambuco,161,1/1/2013
2014,Oct,Pernambuco,174,1/1/2014
2015,Oct,Pernambuco,194,1/1/2015
2016,Oct,Pernambuco,319,1/1/2016
2017,Oct,Pernambuco,256,1/1/2017
1998,Nov,Pernambuco,141,1/1/1998
1999,Nov,Pernambuco,41,1/1/1999
2000,Nov,Pernambuco,64,1/1/2000
2001,Nov,Pernambuco,208,1/1/2001
2002,Nov,Pernambuco,521,1/1/2002
2003,Nov,Pernambuco,560,1/1/2003
2004,Nov,Pernambuco,465,1/1/2004
2005,Nov,Pernambuco,452,1/1/2005
2006,Nov,Pernambuco,385,1/1/2006
2007,Nov,Pernambuco,,1/1/2007
2008,Nov,Pernambuco,363,1/1/2008
2009,Nov,Pernambuco,486,1/1/2009
2010,Nov,Pernambuco,831,1/1/2010
2011,Nov,Pernambuco,352,1/1/2011
2012,Nov,Pernambuco,181,1/1/2012
2013,Nov,Pernambuco,110,1/1/2013
2014,Nov,Pernambuco,111,1/1/2014
2015,Nov,Pernambuco,,1/1/2015
2016,Nov,Pernambuco,191,1/1/2016
2017,Nov,Pernambuco,66,1/1/2017
1998,Dec,Pernambuco,59,1/1/1998
1999,Dec,Pernambuco,16,1/1/1999
2000,Dec,Pernambuco,22,1/1/2000
2001,Dec,Pernambuco,62,1/1/2001
2002,Dec,Pernambuco,259,1/1/2002
2003,Dec,Pernambuco,229,1/1/2003
2004,Dec,Pernambuco,373,1/1/2004
2005,Dec,Pernambuco,191,1/1/2005
2006,Dec,Pernambuco,207,1/1/2006
2007,Dec,Pernambuco,200,1/1/2007
2008,Dec,Pernambuco,203,1/1/2008
2009,Dec,Pernambuco,351,1/1/2009
2010,Dec,Pernambuco,117,1/1/2010
2011,Dec,Pernambuco,364,1/1/2011
2012,Dec,Pernambuco,108,1/1/2012
2013,Dec,Pernambuco,141,1/1/2013
2014,Dec,Pernambuco,101,1/1/2014
2015,Dec,Pernambuco,176,1/1/2015
2016,Dec,Pernambuco,161,1/1/2016
1998,Jan,Piau,0,1/1/1998
1999,Jan,Piau,21,1/1/1999
2000,Jan,Piau,5,1/1/2000
2001,Jan,Piau,29,1/1/2001
2002,Jan,Piau,33,1/1/2002
2003,Jan,Piau,86,1/1/2003
2004,Jan,Piau,42,1/1/2004
2005,Jan,Piau,94,1/1/2005
2006,Jan,Piau,133,1/1/2006
2007,Jan,Piau,123,1/1/2007
2008,Jan,Piau,61,1/1/2008
2009,Jan,Piau,79,1/1/2009
2010,Jan,Piau,99,1/1/2010
2011,Jan,Piau,39,1/1/2011
2012,Jan,Piau,80,1/1/2012
2013,Jan,Piau,72,1/1/2013
2014,Jan,Piau,79,1/1/2014
2015,Jan,Piau,92,1/1/2015
2016,Jan,Piau,94,1/1/2016
2017,Jan,Piau,85,1/1/2017
1998,Feb,Piau,0,1/1/1998
1999,Feb,Piau,22,1/1/1999
2000,Feb,Piau,12,1/1/2000
2001,Feb,Piau,0,1/1/2001
2002,Feb,Piau,160,1/1/2002
2003,Feb,Piau,3,1/1/2003
2004,Feb,Piau,20,1/1/2004
2005,Feb,Piau,26,1/1/2005
2006,Feb,Piau,23,1/1/2006
2007,Feb,Piau,11,1/1/2007
2008,Feb,Piau,21,1/1/2008
2009,Feb,Piau,19,1/1/2009
2010,Feb,Piau,54,1/1/2010
2011,Feb,Piau,11,1/1/2011
2012,Feb,Piau,31,1/1/2012
2013,Feb,Piau,68,1/1/2013
2014,Feb,Piau,14,1/1/2014
2015,Feb,Piau,38,1/1/2015
2016,Feb,Piau,97,1/1/2016
2017,Feb,Piau,24,1/1/2017
1998,Mar,Piau,,1/1/1998
1999,Mar,Piau,4,1/1/1999
2000,Mar,Piau,14,1/1/2000
2001,Mar,Piau,2,1/1/2001
2002,Mar,Piau,63,1/1/2002
2003,Mar,Piau,15,1/1/2003
2004,Mar,Piau,27,1/1/2004
2005,Mar,Piau,13,1/1/2005
2006,Mar,Piau,18,1/1/2006
2007,Mar,Piau,31,1/1/2007
2008,Mar,Piau,4,1/1/2008
2009,Mar,Piau,17,1/1/2009
2010,Mar,Piau,47,1/1/2010
2011,Mar,Piau,15,1/1/2011
2012,Mar,Piau,71,1/1/2012
2013,Mar,Piau,14,1/1/2013
2014,Mar,Piau,88,1/1/2014
2015,Mar,Piau,35,1/1/2015
2016,Mar,Piau,53,1/1/2016
2017,Mar,Piau,25,1/1/2017
1998,Apr,Piau,0,1/1/1998
1999,Apr,Piau,10,1/1/1999
2000,Apr,Piau,15,1/1/2000
2001,Apr,Piau,1,1/1/2001
2002,Apr,Piau,87,1/1/2002
2003,Apr,Piau,22,1/1/2003
2004,Apr,Piau,10,1/1/2004
2005,Apr,Piau,3,1/1/2005
2006,Apr,Piau,1,1/1/2006
2007,Apr,Piau,9,1/1/2007
2008,Apr,Piau,7,1/1/2008
2009,Apr,Piau,8,1/1/2009
2010,Apr,Piau,56,1/1/2010
2011,Apr,Piau,16,1/1/2011
2012,Apr,Piau,119,1/1/2012
2013,Apr,Piau,34,1/1/2013
2014,Apr,Piau,63,1/1/2014
2015,Apr,Piau,50,1/1/2015
2016,Apr,Piau,35,1/1/2016
2017,Apr,Piau,25,1/1/2017
1998,May,Piau,0,1/1/1998
1999,May,Piau,8,1/1/1999
2000,May,Piau,25,1/1/2000
2001,May,Piau,36,1/1/2001
2002,May,Piau,84,1/1/2002
2003,May,Piau,13,1/1/2003
2004,May,Piau,80,1/1/2004
2005,May,Piau,,1/1/2005
2006,May,Piau,0,1/1/2006
2007,May,Piau,52,1/1/2007
2008,May,Piau,12,1/1/2008
2009,May,Piau,12,1/1/2009
2010,May,Piau,,1/1/2010
2011,May,Piau,77,1/1/2011
2012,May,Piau,334,1/1/2012
2013,May,Piau,40,1/1/2013
2014,May,Piau,138,1/1/2014
2015,May,Piau,66,1/1/2015
2016,May,Piau,60,1/1/2016
2017,May,Piau,36,1/1/2017
1998,Jun,Piau,46,1/1/1998
1999,Jun,Piau,47,1/1/1999
2000,Jun,Piau,18,1/1/2000
2001,Jun,Piau,87,1/1/2001
2002,Jun,Piau,161,1/1/2002
2003,Jun,Piau,88,1/1/2003
2004,Jun,Piau,239,1/1/2004
2005,Jun,Piau,171,1/1/2005
2006,Jun,Piau,40,1/1/2006
2007,Jun,Piau,303,1/1/2007
2008,Jun,Piau,33,1/1/2008
2009,Jun,Piau,56,1/1/2009
2010,Jun,Piau,208,1/1/2010
2011,Jun,Piau,462,1/1/2011
2012,Jun,Piau,834,1/1/2012
2013,Jun,Piau,263,1/1/2013
2014,Jun,Piau,373,1/1/2014
2015,Jun,Piau,283,1/1/2015
2016,Jun,Piau,153,1/1/2016
2017,Jun,Piau,193,1/1/2017
1998,Jul,Piau,189,1/1/1998
1999,Jul,Piau,123,1/1/1999
2000,Jul,Piau,75,1/1/2000
2001,Jul,Piau,337,1/1/2001
2002,Jul,Piau,534,1/1/2002
2003,Jul,Piau,407,1/1/2003
2004,Jul,Piau,564,1/1/2004
2005,Jul,Piau,445,1/1/2005
2006,Jul,Piau,150,1/1/2006
2007,Jul,Piau,919,1/1/2007
2008,Jul,Piau,97,1/1/2008
2009,Jul,Piau,302,1/1/2009
2010,Jul,Piau,1.696,1/1/2010
2011,Jul,Piau,864,1/1/2011
2012,Jul,Piau,1.755,1/1/2012
2013,Jul,Piau,361,1/1/2013
2014,Jul,Piau,1.177,1/1/2014
2015,Jul,Piau,690,1/1/2015
2016,Jul,Piau,754,1/1/2016
2017,Jul,Piau,643,1/1/2017
1998,Aug,Piau,711,1/1/1998
1999,Aug,Piau,499,1/1/1999
2000,Aug,Piau,415,1/1/2000
2001,Aug,Piau,1.133,1/1/2001
2002,Aug,Piau,2.28,1/1/2002
2003,Aug,Piau,864,1/1/2003
2004,Aug,Piau,1.002,1/1/2004
2005,Aug,Piau,943,1/1/2005
2006,Aug,Piau,911,1/1/2006
2007,Aug,Piau,3.551,1/1/2007
2008,Aug,Piau,290,1/1/2008
2009,Aug,Piau,790,1/1/2009
2010,Aug,Piau,4.035,1/1/2010
2011,Aug,Piau,1.958,1/1/2011
2012,Aug,Piau,3.614,1/1/2012
2013,Aug,Piau,1.015,1/1/2013
2014,Aug,Piau,2.265,1/1/2014
2015,Aug,Piau,2.057,1/1/2015
2016,Aug,Piau,,1/1/2016
2017,Aug,Piau,1.572,1/1/2017
1998,Sep,Piau,1.991,1/1/1998
1999,Sep,Piau,872,1/1/1999
2000,Sep,Piau,1.099,1/1/2000
2001,Sep,Piau,2.401,1/1/2001
2002,Sep,Piau,2.475,1/1/2002
2003,Sep,Piau,3.399,1/1/2003
2004,Sep,Piau,2.662,1/1/2004
2005,Sep,Piau,3.136,1/1/2005
2006,Sep,Piau,1.618,1/1/2006
2007,Sep,Piau,4.078,1/1/2007
2008,Sep,Piau,1.472,1/1/2008
2009,Sep,Piau,1.709,1/1/2009
2010,Sep,Piau,5.392,1/1/2010
2011,Sep,Piau,4.402,1/1/2011
2012,Sep,Piau,4.479,1/1/2012
2013,Sep,Piau,2.311,1/1/2013
2014,Sep,Piau,2.536,1/1/2014
2015,Sep,Piau,5.828,1/1/2015
2016,Sep,Piau,1.394,1/1/2016
2017,Sep,Piau,3.422,1/1/2017
1998,Oct,Piau,,1/1/1998
1999,Oct,Piau,1.438,1/1/1999
2000,Oct,Piau,2.558,1/1/2000
2001,Oct,Piau,3.742,1/1/2001
2002,Oct,Piau,2.757,1/1/2002
2003,Oct,Piau,2.332,1/1/2003
2004,Oct,Piau,2.144,1/1/2004
2005,Oct,Piau,3.263,1/1/2005
2006,Oct,Piau,1.443,1/1/2006
2007,Oct,Piau,2.331,1/1/2007
2008,Oct,Piau,1.83,1/1/2008
2009,Oct,Piau,913,1/1/2009
2010,Oct,Piau,,1/1/2010
2011,Oct,Piau,1.484,1/1/2011
2012,Oct,Piau,2.506,1/1/2012
2013,Oct,Piau,1.269,1/1/2013
2014,Oct,Piau,1.788,1/1/2014
2015,Oct,Piau,4.068,1/1/2015
2016,Oct,Piau,2.598,1/1/2016
2017,Oct,Piau,3.004,1/1/2017
1998,Nov,Piau,424,1/1/1998
1999,Nov,Piau,334,1/1/1999
2000,Nov,Piau,450,1/1/2000
2001,Nov,Piau,1.484,1/1/2001
2002,Nov,Piau,1.174,1/1/2002
2003,Nov,Piau,1.248,1/1/2003
2004,Nov,Piau,1.798,1/1/2004
2005,Nov,Piau,1.599,1/1/2005
2006,Nov,Piau,740,1/1/2006
2007,Nov,Piau,939,1/1/2007
2008,Nov,Piau,594,1/1/2008
2009,Nov,Piau,1.336,1/1/2009
2010,Nov,Piau,1.417,1/1/2010
2011,Nov,Piau,825,1/1/2011
2012,Nov,Piau,447,1/1/2012
2013,Nov,Piau,640,1/1/2013
2014,Nov,Piau,717,1/1/2014
2015,Nov,Piau,897,1/1/2015
2016,Nov,Piau,1.126,1/1/2016
2017,Nov,Piau,449,1/1/2017
1998,Dec,Piau,119,1/1/1998
1999,Dec,Piau,74,1/1/1999
2000,Dec,Piau,79,1/1/2000
2001,Dec,Piau,230,1/1/2001
2002,Dec,Piau,373,1/1/2002
2003,Dec,Piau,459,1/1/2003
2004,Dec,Piau,788,1/1/2004
2005,Dec,Piau,486,1/1/2005
2006,Dec,Piau,339,1/1/2006
2007,Dec,Piau,317,1/1/2007
2008,Dec,Piau,329,1/1/2008
2009,Dec,Piau,570,1/1/2009
2010,Dec,Piau,357,1/1/2010
2011,Dec,Piau,362,1/1/2011
2012,Dec,Piau,334,1/1/2012
2013,Dec,Piau,468,1/1/2013
2014,Dec,Piau,346,1/1/2014
2015,Dec,Piau,626,1/1/2015
2016,Dec,Piau,374,1/1/2016
1998,Jan,Rio,0,1/1/1998
1999,Jan,Rio,0,1/1/1999
2000,Jan,Rio,0,1/1/2000
2001,Jan,Rio,0,1/1/2001
2002,Jan,Rio,0,1/1/2002
2003,Jan,Rio,0,1/1/2003
2004,Jan,Rio,1,1/1/2004
2005,Jan,Rio,5,1/1/2005
2006,Jan,Rio,12,1/1/2006
2007,Jan,Rio,0,1/1/2007
2008,Jan,Rio,1,1/1/2008
2009,Jan,Rio,3,1/1/2009
2010,Jan,Rio,13,1/1/2010
2011,Jan,Rio,,1/1/2011
2012,Jan,Rio,12,1/1/2012
2013,Jan,Rio,9,1/1/2013
2014,Jan,Rio,35,1/1/2014
2015,Jan,Rio,97,1/1/2015
2016,Jan,Rio,9,1/1/2016
2017,Jan,Rio,15,1/1/2017
1998,Feb,Rio,0,1/1/1998
1999,Feb,Rio,0,1/1/1999
2000,Feb,Rio,1,1/1/2000
2001,Feb,Rio,3,1/1/2001
2002,Feb,Rio,1,1/1/2002
2003,Feb,Rio,10,1/1/2003
2004,Feb,Rio,8,1/1/2004
2005,Feb,Rio,4,1/1/2005
2006,Feb,Rio,7,1/1/2006
2007,Feb,Rio,15,1/1/2007
2008,Feb,Rio,2,1/1/2008
2009,Feb,Rio,5,1/1/2009
2010,Feb,Rio,73,1/1/2010
2011,Feb,Rio,36,1/1/2011
2012,Feb,Rio,11,1/1/2012
2013,Feb,Rio,12,1/1/2013
2014,Feb,Rio,116,1/1/2014
2015,Feb,Rio,36,1/1/2015
2016,Feb,Rio,16,1/1/2016
2017,Feb,Rio,34,1/1/2017
1998,Mar,Rio,0,1/1/1998
1999,Mar,Rio,0,1/1/1999
2000,Mar,Rio,0,1/1/2000
2001,Mar,Rio,0,1/1/2001
2002,Mar,Rio,1,1/1/2002
2003,Mar,Rio,23,1/1/2003
2004,Mar,Rio,4,1/1/2004
2005,Mar,Rio,7,1/1/2005
2006,Mar,Rio,8,1/1/2006
2007,Mar,Rio,27,1/1/2007
2008,Mar,Rio,2,1/1/2008
2009,Mar,Rio,5,1/1/2009
2010,Mar,Rio,10,1/1/2010
2011,Mar,Rio,7,1/1/2011
2012,Mar,Rio,20,1/1/2012
2013,Mar,Rio,,1/1/2013
2014,Mar,Rio,38,1/1/2014
2015,Mar,Rio,23,1/1/2015
2016,Mar,Rio,16,1/1/2016
2017,Mar,Rio,10,1/1/2017
1998,Apr,Rio,0,1/1/1998
1999,Apr,Rio,1,1/1/1999
2000,Apr,Rio,2,1/1/2000
2001,Apr,Rio,2,1/1/2001
2002,Apr,Rio,8,1/1/2002
2003,Apr,Rio,11,1/1/2003
2004,Apr,Rio,3,1/1/2004
2005,Apr,Rio,1,1/1/2005
2006,Apr,Rio,8,1/1/2006
2007,Apr,Rio,9,1/1/2007
2008,Apr,Rio,2,1/1/2008
2009,Apr,Rio,1,1/1/2009
2010,Apr,Rio,10,1/1/2010
2011,Apr,Rio,12,1/1/2011
2012,Apr,Rio,12,1/1/2012
2013,Apr,Rio,9,1/1/2013
2014,Apr,Rio,25,1/1/2014
2015,Apr,Rio,24,1/1/2015
2016,Apr,Rio,45,1/1/2016
2017,Apr,Rio,12,1/1/2017
1998,May,Rio,0,1/1/1998
1999,May,Rio,7,1/1/1999
2000,May,Rio,5,1/1/2000
2001,May,Rio,4,1/1/2001
2002,May,Rio,4,1/1/2002
2003,May,Rio,1,1/1/2003
2004,May,Rio,0,1/1/2004
2005,May,Rio,11,1/1/2005
2006,May,Rio,4,1/1/2006
2007,May,Rio,2,1/1/2007
2008,May,Rio,0,1/1/2008
2009,May,Rio,37,1/1/2009
2010,May,Rio,6,1/1/2010
2011,May,Rio,17,1/1/2011
2012,May,Rio,18,1/1/2012
2013,May,Rio,16,1/1/2013
2014,May,Rio,20,1/1/2014
2015,May,Rio,21,1/1/2015
2016,May,Rio,30,1/1/2016
2017,May,Rio,15,1/1/2017
1998,Jun,Rio,3,1/1/1998
1999,Jun,Rio,8,1/1/1999
2000,Jun,Rio,14,1/1/2000
2001,Jun,Rio,13,1/1/2001
2002,Jun,Rio,13,1/1/2002
2003,Jun,Rio,13,1/1/2003
2004,Jun,Rio,19,1/1/2004
2005,Jun,Rio,16,1/1/2005
2006,Jun,Rio,19,1/1/2006
2007,Jun,Rio,3,1/1/2007
2008,Jun,Rio,4,1/1/2008
2009,Jun,Rio,33,1/1/2009
